"age","female","metro","member","location","pilot","ID","last","cash","sat","fr1","fr2","ltmem","mamt1","mamt2","rind"
41,1,1,4,1,1,10001,51.3899993896484,0,5,1,1,1,203.885955810547,346.119995117188,0.148928374052048
52,1,1,4,1,1,10002,40.2599983215332,1,3,1,1,1,139.341918945312,259.209991455078,0.200628027319908
49,1,1,1,1,1,10003,44.8400001525879,1,1,2,2,0,216.370040893555,243.220001220703,0.0143819181248546
45,1,1,3,1,1,10005,108.603439331055,0,2,1,3,1,473.566162109375,464.290008544922,0.126455187797546
44,0,1,3,1,1,10007,47.8400001525879,0,2,2,1,1,199.293762207031,299.570007324219,0.0242912359535694
54,1,1,3,1,1,10008,51.9203872680664,1,2,2,2,1,412.312652587891,382.730010986328,0.0401590019464493
NA,1,1,2,1,1,10015,102.319999694824,0,1,3,3,0,401.007537841797,489.079986572266,0.0303501505404711
44,1,1,4,1,1,10019,41.9700012207031,0,3,1,1,1,158.81462097168,198.130004882812,0.157199114561081
46,1,1,2,1,1,10022,50.9599990844727,0,1,2,2,0,228.001190185547,282.470001220703,0.0181107763200998
43,0,1,3,1,1,10023,100.540000915527,0,3,1,1,1,396.892364501953,434.25,0.120989188551903
44,1,1,1,1,1,10024,84.4800033569336,0,1,3,3,0,420.693420410156,399.640014648438,0.0113522093743086
46,1,1,3,1,1,10025,61.1689186096191,0,1,1,1,1,632.642883300781,665.440002441406,0.12994684278965
47,1,1,3,1,1,10026,41.5900001525879,0,3,1,1,1,163.423141479492,193.100006103516,0.133864060044289
44,1,1,3,1,1,10027,49.4500007629395,0,1,3,3,1,218.141540527344,265.309997558594,0.0242007970809937
56,1,1,1,1,1,10028,85.87841796875,0,1,2,3,0,714.27294921875,627.039978027344,0.0233837105333805
39,1,1,2,1,1,10030,83.4000015258789,0,1,3,3,0,382.988800048828,385.980010986328,0.0147735681384802
44,0,1,3,1,1,10031,206.991516113281,0,1,3,3,1,737.959777832031,747.869995117188,0.0242912359535694
49,1,1,1,1,1,10032,139.616104125977,0,1,1,1,0,555.181701660156,571.119995117188,0.0851575210690498
42,1,1,4,1,1,10033,91.9899978637695,0,2,3,3,1,358.252380371094,474.720001220703,0.0324058644473553
38,0,1,3,1,1,10034,102.900001525879,0,5,3,3,1,420.295623779297,418.730010986328,0.0213183611631393
50,1,1,2,1,1,10035,50.7799987792969,1,1,2,2,0,227.225967407227,241.690002441406,0.0221572518348694
60,1,1,2,1,1,10037,82.8899993896484,1,1,3,3,0,290.885894775391,439.850006103516,0.0458831638097763
43,1,1,1,1,1,10039,84.2099990844727,0,1,3,3,0,408.255065917969,438.25,0.0109612951055169
44,1,1,2,1,1,10042,89.5357208251953,0,1,3,3,0,502.304351806641,492.179992675781,0.016747523099184
56,1,1,1,1,1,10043,NA,NA,NA,NA,NA,0,0,0,NA
47,1,1,4,1,1,10044,60.6100006103516,0,2,3,2,1,233.296676635742,293.75,0.0382344610989094
47,0,1,1,1,1,10046,90.2600021362305,0,1,3,3,0,411.829132080078,435.119995117188,0.0129808392375708
45,0,1,2,1,1,10047,53.5718536376953,0,1,2,3,0,495.601623535156,508.279998779297,0.0174502655863762
40,1,1,4,1,1,10048,63.3032569885254,0,3,1,2,1,810.539855957031,792.010009765625,0.147002473473549
48,1,1,1,1,1,10050,34.123233795166,1,1,1,2,0,735.382141113281,663.890014648438,0.0818314552307129
43,0,1,1,1,1,10051,100.26000213623,0,1,1,3,0,466.234680175781,522.890014648438,0.0701596885919571
52,1,1,4,1,1,10052,93.0899963378906,0,2,2,2,1,312.167724609375,374.940002441406,0.0489727929234505
32,1,1,1,1,1,10054,86.3000030517578,0,1,3,3,0,423.314575195312,419.609985351562,0.00994497258216143
47,1,1,2,1,1,10055,49.2099990844727,0,1,1,1,0,212.014907836914,259.100006103516,0.10372956097126
62,1,1,4,1,1,10056,43.1800003051758,1,5,2,3,1,121.084091186523,174.029998779297,0.097380556166172
44,0,1,1,1,1,10058,100.708206176758,0,1,2,3,0,1115.64074707031,1006.79998779297,0.0113995503634214
53,1,1,4,1,1,10059,41.0400009155273,1,5,1,1,1,145.354446411133,277.630004882812,0.208668306469917
51,1,1,2,1,1,10060,80.0100021362305,0,1,2,1,0,336.923492431641,531.650024414062,0.0235107559710741
56,1,1,1,1,1,10061,78,0,1,1,NA,0,63.4358329772949,0,0.120421066880226
57,1,1,4,1,1,10063,22.1000003814697,1,5,1,NA,1,13.3022480010986,0,0.247913494706154
53,1,1,1,1,1,10065,28.2700004577637,1,2,2,2,0,135.649658203125,178.229995727539,0.0186080075800419
40,1,1,2,1,1,10069,155.660232543945,0,2,2,3,0,584.382080078125,536.809997558594,0.0150246862322092
